"knr","kname","month","age","unemp"
"231","1002","Mandal (-2019)","2002M03","15-74 years",3.1
"232","1002","Mandal (-2019)","2002M04","15-74 years",2.7
"233","1002","Mandal (-2019)","2002M05","15-74 years",2.7
"234","1002","Mandal (-2019)","2002M06","15-74 years",3
"235","1002","Mandal (-2019)","2002M07","15-74 years",3.7
"236","1002","Mandal (-2019)","2002M08","15-74 years",3.6
"237","1002","Mandal (-2019)","2002M09","15-74 years",3
"238","1002","Mandal (-2019)","2002M10","15-74 years",3.2
"239","1002","Mandal (-2019)","2002M11","15-74 years",3.3
"240","1002","Mandal (-2019)","2002M12","15-74 years",3.5
"241","1002","Mandal (-2019)","1999M01","15-29 years",6.2
"242","1002","Mandal (-2019)","1999M02","15-29 years",5.2
"243","1002","Mandal (-2019)","1999M03","15-29 years",5.1
"244","1002","Mandal (-2019)","1999M04","15-29 years",5.7
"245","1002","Mandal (-2019)","1999M05","15-29 years",4.7
"246","1002","Mandal (-2019)","1999M06","15-29 years",4.6
"247","1002","Mandal (-2019)","1999M07","15-29 years",5.4
"248","1002","Mandal (-2019)","1999M08","15-29 years",5.8
"249","1002","Mandal (-2019)","1999M09","15-29 years",4.6
"250","1002","Mandal (-2019)","1999M10","15-29 years",3.8
"251","1002","Mandal (-2019)","1999M11","15-29 years",4.2
"252","1002","Mandal (-2019)","1999M12","15-29 years",4.9
"253","1002","Mandal (-2019)","2000M01","15-29 years",5.3
"254","1002","Mandal (-2019)","2000M02","15-29 years",5
"255","1002","Mandal (-2019)","2000M03","15-29 years",4.8
"256","1002","Mandal (-2019)","2000M04","15-29 years",4.5
"257","1002","Mandal (-2019)","2000M05","15-29 years",4.6
"258","1002","Mandal (-2019)","2000M06","15-29 years",4.7
"259","1002","Mandal (-2019)","2000M07","15-29 years",5.7
"260","1002","Mandal (-2019)","2000M08","15-29 years",5.2
"261","1002","Mandal (-2019)","2000M09","15-29 years",3.8
"262","1002","Mandal (-2019)","2000M10","15-29 years",3.1
"263","1002","Mandal (-2019)","2000M11","15-29 years",3.8
"264","1002","Mandal (-2019)","2000M12","15-29 years",4.9
"265","1002","Mandal (-2019)","2001M01","15-29 years",5.9
"266","1002","Mandal (-2019)","2001M02","15-29 years",4.9
"267","1002","Mandal (-2019)","2001M03","15-29 years",4.6
"268","1002","Mandal (-2019)","2001M04","15-29 years",3.7
"269","1002","Mandal (-2019)","2001M05","15-29 years",4.6
"270","1002","Mandal (-2019)","2001M06","15-29 years",4.7
"271","1002","Mandal (-2019)","2001M07","15-29 years",6
"272","1002","Mandal (-2019)","2001M08","15-29 years",6.5
"273","1002","Mandal (-2019)","2001M09","15-29 years",6.2
"274","1002","Mandal (-2019)","2001M10","15-29 years",5.2
"275","1002","Mandal (-2019)","2001M11","15-29 years",4.9
"276","1002","Mandal (-2019)","2001M12","15-29 years",4.9
"277","1002","Mandal (-2019)","2002M01","15-29 years",5.6
"278","1002","Mandal (-2019)","2002M02","15-29 years",6
"279","1002","Mandal (-2019)","2002M03","15-29 years",4.9
"280","1002","Mandal (-2019)","2002M04","15-29 years",4.8
"281","1002","Mandal (-2019)","2002M05","15-29 years",4.9
"282","1002","Mandal (-2019)","2002M06","15-29 years",5.4
"283","1002","Mandal (-2019)","2002M07","15-29 years",6.8
"284","1002","Mandal (-2019)","2002M08","15-29 years",6.4
"285","1002","Mandal (-2019)","2002M09","15-29 years",5.6
"286","1002","Mandal (-2019)","2002M10","15-29 years",5.6
"287","1002","Mandal (-2019)","2002M11","15-29 years",5.7
"288","1002","Mandal (-2019)","2002M12","15-29 years",5.8
"289","1003","Farsund (-2019)","1999M01","15-74 years",2.8
"290","1003","Farsund (-2019)","1999M02","15-74 years",2.5
"291","1003","Farsund (-2019)","1999M03","15-74 years",2.4
"292","1003","Farsund (-2019)","1999M04","15-74 years",2.3
"293","1003","Farsund (-2019)","1999M05","15-74 years",2.2
"294","1003","Farsund (-2019)","1999M06","15-74 years",5.8
"295","1003","Farsund (-2019)","1999M07","15-74 years",6.9
"296","1003","Farsund (-2019)","1999M08","15-74 years",7.3
"297","1003","Farsund (-2019)","1999M09","15-74 years",5.5
"298","1003","Farsund (-2019)","1999M10","15-74 years",5.7
"299","1003","Farsund (-2019)","1999M11","15-74 years",3.9
"300","1003","Farsund (-2019)","1999M12","15-74 years",3.1
"301","1003","Farsund (-2019)","2000M01","15-74 years",3.7
"302","1003","Farsund (-2019)","2000M02","15-74 years",3.5
"303","1003","Farsund (-2019)","2000M03","15-74 years",4.9
"304","1003","Farsund (-2019)","2000M04","15-74 years",4.7
"305","1003","Farsund (-2019)","2000M05","15-74 years",4.7
